"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13645","home-grid","mobile-chromium","2026-06-26","passed","2026-06-26","home","","",""
"","2974","contact-empty","mobile-chromium","2026-06-26","passed","2026-06-26","contact","","",""
"","4783","contact-empty","desktop-firefox","2026-06-26","passed","2026-06-26","contact","","",""
"","6327","product-detail","desktop-firefox","2026-06-26","passed","2026-06-26","catalog","","",""
"","13123","home-grid","tablet-chromium","2026-06-26","passed","2026-06-26","home","","",""
"","2425","contact-empty","tablet-chromium","2026-06-26","passed","2026-06-26","contact","","",""
"","23734","product-detail","desktop-chromium","2026-06-26","passed","2026-06-26","catalog","","",""
"","23613","search-pliers","desktop-chromium","2026-06-26","passed","2026-06-26","catalog","","",""
"","7509","contact-filled","desktop-webkit","2026-06-26","passed","2026-06-26","contact","","",""
"","6214","home-grid","desktop-webkit","2026-06-26","passed","2026-06-26","home","","",""
"","24935","product-detail","mobile-chromium","2026-06-26","passed","2026-06-26","catalog","","",""
"","10500","search-pliers","desktop-webkit","2026-06-26","passed","2026-06-26","catalog","","",""
"","304","search-pliers","tablet-chromium","2026-06-26","skipped","2026-06-26","catalog","","",""
"","7133","product-detail","desktop-webkit","2026-06-26","passed","2026-06-26","catalog","","",""
"","2255","contact-empty","desktop-chromium","2026-06-26","passed","2026-06-26","contact","","",""
"","13057","home-grid","desktop-chromium","2026-06-26","passed","2026-06-26","home","","",""
"","23965","product-detail","tablet-chromium","2026-06-26","passed","2026-06-26","catalog","","",""
"","2802","contact-filled","desktop-chromium","2026-06-26","passed","2026-06-26","contact","","",""
"","3676","contact-filled","desktop-firefox","2026-06-26","passed","2026-06-26","contact","","",""
"","3840","search-pliers","desktop-firefox","2026-06-26","passed","2026-06-26","catalog","","",""
"","227","search-pliers","mobile-chromium","2026-06-26","skipped","2026-06-26","catalog","","",""
"","2902","contact-filled","tablet-chromium","2026-06-26","passed","2026-06-26","contact","","",""
"","5253","contact-empty","desktop-webkit","2026-06-26","passed","2026-06-26","contact","","",""
"","6856","login-form","desktop-webkit","2026-06-26","passed","2026-06-26","auth","","",""
"","5709","login-form","desktop-firefox","2026-06-26","passed","2026-06-26","auth","","",""
"","3820","home-grid","desktop-firefox","2026-06-26","passed","2026-06-26","home","","",""
"","2248","login-form","desktop-chromium","2026-06-26","passed","2026-06-26","auth","","",""
"","3515","contact-filled","mobile-chromium","2026-06-26","passed","2026-06-26","contact","","",""
"","2933","login-form","mobile-chromium","2026-06-26","passed","2026-06-26","auth","","",""
"","3378","login-form","tablet-chromium","2026-06-26","passed","2026-06-26","auth","","",""
